Date,Total_Value,HK_Value,AX_Value,HK_Profit,AX_Profit,Rebalance
2025-01-01,5000.0,2500.0,2491.5335831281923,0.0,0.0,0
2025-01-03,5019.982751994092,2500.0,2519.9827519940914,0.0,0.0,0
2025-01-06,5015.7990506902825,2500.0,2515.799050690283,0.0,0.0,0
2025-01-07,5003.666316909237,2500.0,2503.6663169092376,0.0,0.0,0
2025-01-08,4994.880544171239,2500.0,2494.8805441712393,0.0,0.0,0
2025-01-10,4940.213513801473,2500.0,2440.2135138014723,0.0,0.0,0
2025-01-13,4964.757894783817,2500.0,2464.757894783817,0.0,0.0,0
2025-01-14,4947.465262728074,2500.0,2447.4652627280743,0.0,0.0,0
2025-01-15,5129.126454324301,2611.421379048359,2517.705075275943,0.0,0.0,0
2025-01-16,5123.548185919224,2611.421379048359,2512.126806870865,0.0,0.0,0
2025-01-17,5124.524382890113,2611.421379048359,2513.1030038417534,0.0,0.0,0
2025-01-21,5149.46082690235,2626.386668286519,2523.074158615831,0.0,0.0,0
2025-01-22,5047.825672946074,2573.3521778094873,2474.4734951365867,0.0,0.0,0
2025-01-23,5073.4633957130645,2586.730261189217,2486.733134523847,0.0,0.0,0
2025-01-24,5090.404532279263,2595.5703574641407,2494.8341748151224,0.0,0.0,0
2025-01-27,5275.593406776351,2692.2042210306117,2583.3891857457393,0.0,0.0,0
2025-01-28,5215.16730661699,2687.839718342287,2527.327588274703,0.0,0.0,0
2025-01-29,5248.218546917078,2687.839718342287,2560.3788285747914,0.0,0.0,0
2025-01-30,5253.65735861203,2687.839718342287,2565.817640269743,0.0,0.0,0
2025-01-31,5368.7091444667685,2687.839718342287,2680.8694261244814,0.0,0.0,0
2025-02-03,5455.172304745482,2687.839718342287,2767.332586403194,0.0,0.0,0
2025-02-04,5504.429237339997,2712.273356534205,2792.155880805792,0.0,0.0,0
2025-02-05,5507.776198383044,2712.273356534205,2795.502841848839,0.0,0.0,0
2025-02-06,5529.220456699266,2712.273356534205,2816.9471001650613,0.0,0.0,0
2025-02-07,5496.972487049508,2712.273356534205,2784.6991305153038,0.0,0.0,0
2025-02-10,5487.276061994382,2712.273356534205,2775.0027054601765,0.0,0.0,0
2025-02-11,5505.265977600759,2712.273356534205,2792.992621066554,0.0,0.0,0
2025-02-12,5520.0483888742165,2712.273356534205,2807.775032340011,0.0,0.0,0
2025-02-13,5526.323940829929,2712.273356534205,2814.050584295724,0.0,0.0,0
2025-02-14,5533.017862916024,2712.273356534205,2820.744506381818,0.0,0.0,0
2025-02-18,5565.511276375604,2712.273356534205,2853.2379198413987,0.0,0.0,0
2025-02-19,5640.793946813017,2772.3552455677795,2868.438701245237,0.0,0.0,0
2025-02-20,5739.611291491654,2821.9443715716016,2917.6669199200524,0.0,0.0,0
2025-02-21,5773.203589965979,2838.8018648306916,2934.401725135287,0.0,0.0,0
2025-02-24,5818.833128726936,2861.6999598409548,2957.133168885981,0.0,0.0,0
2025-02-25,5856.135048815302,2908.9033063483357,2947.231742466967,0.0,0.0,0
2025-02-26,5848.500732948702,2905.034321655163,2943.466411293539,0.0,0.0,0
2025-02-27,5920.547987459797,2931.6186886648698,2988.929298794927,0.0,0.0,0
2025-02-28,5959.784132854016,2931.6186886648698,3028.165444189146,0.0,0.0,0
2025-03-03,5961.12989010674,2931.6186886648698,3029.511201441871,0.0,0.0,0
2025-03-04,5945.231825152267,2931.6186886648698,3013.6131364873977,0.0,0.0,0
2025-03-05,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-06,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-07,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-10,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-11,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-12,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-13,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-14,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-17,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-18,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-19,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-20,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-21,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-24,6050.540400183661,2985.4677376594173,3065.0726625242446,0.0,0.0,0
2025-03-25,6049.128017487675,3053.3641370824016,2995.763880405273,0.0,0.0,0
2025-03-26,6047.733450386405,3053.3641370824016,2994.3693133040033,0.0,0.0,0
2025-03-27,6068.651956905449,3053.3641370824016,3015.287819823047,0.0,0.0,0
2025-03-28,6110.210056523281,3053.3641370824016,3056.8459194408797,0.0,0.0,0
2025-03-31,6161.251212429746,3053.3641370824016,3107.887075347345,0.0,0.0,0
2025-04-01,6178.125474355109,3053.3641370824016,3124.761337272707,0.0,0.0,0
2025-04-02,6099.471889843506,3053.3641370824016,3046.1077527611037,0.0,0.0,0
2025-04-03,6046.338883285135,3053.3641370824016,2992.9747462027335,0.0,0.0,0
2025-04-04,5847.75252806435,3053.3641370824016,2794.3883909819488,0.0,0.0,0
2025-04-07,5842.034802949145,3053.3641370824016,2788.6706658667435,0.0,0.0,0
2025-04-08,5698.006922040628,3022.5572078525056,2675.449714188122,0.0,0.0,0
