Date,Total_Value,HK_Value,AX_Value,HK_Profit,AX_Profit,Rebalance
2025-01-01,5000.0,2500.0,2496.8710888610763,0.0,0.0,0
2025-01-03,5002.790227649426,2500.0,2502.7902276494265,0.0,0.0,0
2025-01-06,5013.7836992186185,2500.0,2513.783699218618,0.0,0.0,0
2025-01-07,4989.9367452558945,2500.0,2489.936745255894,0.0,0.0,0
2025-01-08,4985.814193417447,2500.0,2485.8141934174473,0.0,0.0,0
2025-01-10,4955.518722727734,2500.0,2455.518722727734,0.0,0.0,0
2025-01-13,4953.785136826438,2500.0,2453.7851368264387,0.0,0.0,0
2025-01-14,4950.360247606806,2500.0,2450.360247606806,0.0,0.0,0
2025-01-15,5010.3380915333355,2500.0,2510.3380915333355,0.0,0.0,0
2025-01-16,5006.300104860806,2500.0,2506.3001048608057,0.0,0.0,0
2025-01-17,5028.667591245814,2500.0,2528.667591245814,0.0,0.0,0
2025-01-21,5046.362852213916,2500.0,2546.362852213916,0.0,0.0,0
2025-01-22,5068.328654060819,2500.0,2568.328654060819,0.0,0.0,0
2025-01-23,5070.950174204241,2500.0,2570.9501742042416,0.0,0.0,0
2025-01-24,5069.121452491289,2500.0,2569.1214524912893,0.0,0.0,0
2025-01-27,5123.508666279364,2599.40759399306,2524.101072286304,0.0,0.0,0
2025-01-28,5310.916735669542,2692.352765292719,2618.563970376823,0.0,0.0,0
2025-01-29,5283.622997546996,2678.5053113767826,2605.1176861702133,0.0,0.0,0
2025-01-30,5320.619440284975,2697.2754239047017,2623.3440163802734,0.0,0.0,0
2025-01-31,5283.795509146084,2678.592834984125,2605.2026741619597,0.0,0.0,0
2025-02-03,5325.612214572482,2732.164098472965,2593.448116099517,0.0,0.0,0
2025-02-04,5350.508164567478,2745.0835068449865,2605.4246577224912,0.0,0.0,0
2025-02-05,5361.126493562385,2749.1163235441186,2612.0101700182663,0.0,0.0,0
2025-02-06,5364.5091001990595,2749.1163235441186,2615.392776654941,0.0,0.0,0
2025-02-07,5348.399436091899,2749.1163235441186,2599.2831125477796,0.0,0.0,0
2025-02-10,5368.652370503156,2749.1163235441186,2619.536046959037,0.0,0.0,0
2025-02-11,5370.048118566614,2749.1163235441186,2620.931795022495,0.0,0.0,0
2025-02-12,5362.5218188000135,2749.1163235441186,2613.405495255895,0.0,0.0,0
2025-02-13,5386.030934924899,2749.1163235441186,2636.9146113807806,0.0,0.0,0
2025-02-14,5389.286693812697,2749.1163235441186,2640.170370268579,0.0,0.0,0
2025-02-18,5388.504466027967,2749.1163235441186,2639.3881424838487,0.0,0.0,0
2025-02-19,5400.153317633014,2749.1163235441186,2651.0369940888954,0.0,0.0,0
2025-02-20,5387.383977579569,2749.1163235441186,2638.26765403545,0.0,0.0,0
2025-02-21,5347.384654100896,2749.1163235441186,2598.2683305567775,0.0,0.0,0
2025-02-24,5345.291666244453,2749.1163235441186,2596.175342700335,0.0,0.0,0
2025-02-25,5326.4124929535155,2749.1163235441186,2577.2961694093974,0.0,0.0,0
2025-02-26,5318.294237025498,2749.1163235441186,2569.177913481379,0.0,0.0,0
2025-02-27,5293.093817582275,2749.1163235441186,2543.9774940381562,0.0,0.0,0
2025-02-28,5299.0133791964545,2749.1163235441186,2549.8970556523363,0.0,0.0,0
2025-03-03,5270.200728225668,2744.954418438095,2525.246309787573,0.0,0.0,0
2025-03-04,5471.340473342261,2883.7212406865765,2587.619232655685,0.0,0.0,0
2025-03-05,5651.117124418841,3002.1717831138308,2648.9453413050105,0.0,0.0,0
2025-03-06,5545.146909632196,2944.404135725623,2600.742773906573,0.0,0.0,0
2025-03-07,5570.221335764023,2958.18911220755,2612.0322235564736,0.0,0.0,0
2025-03-10,5430.373037335781,2881.553275302157,2548.819762033624,0.0,0.0,0
2025-03-11,5396.001165509919,2862.6991114220377,2533.302054087881,0.0,0.0,0
2025-03-12,5406.1628769352765,2868.2731625964057,2537.889714338871,0.0,0.0,0
2025-03-13,5356.993305522257,2841.301947236562,2515.691358285696,0.0,0.0,0
2025-03-14,5436.928980190851,2885.1494373501364,2551.779542840714,0.0,0.0,0
2025-03-17,5484.881019359356,2911.4527940439266,2573.4282253154292,0.0,0.0,0
2025-03-18,5434.307539612088,2883.71148626838,2550.596053343708,0.0,0.0,0
2025-03-19,5491.4077926626005,2915.2734820378323,2576.134310624768,0.0,0.0,0
2025-03-20,5477.24449507427,2907.537137059183,2569.7073580150873,0.0,0.0,0
2025-03-21,5465.1311484526705,2900.9205262221794,2564.2106222304915,0.0,0.0,0
2025-03-24,5556.8198644192325,2951.0031805576473,2605.816683861585,0.0,0.0,0
2025-03-25,5567.815055968067,2957.0090273173882,2610.806028650679,0.0,0.0,0
2025-03-26,5503.707498462993,2921.9918868877116,2581.7156115752805,0.0,0.0,0
2025-03-27,5490.289637589838,2914.6627179605703,2575.6269196292674,0.0,0.0,0
2025-03-28,5374.274526219426,2851.292382154208,2522.9821440652177,0.0,0.0,0
2025-03-31,5405.123492881061,2868.1428540757965,2536.9806388052643,0.0,0.0,0
2025-04-01,5432.145573806165,2882.9029859429565,2549.2425878632084,0.0,0.0,0
2025-04-02,5504.546114767565,2922.449959945658,2582.0961548219066,0.0,0.0,0
2025-04-03,5281.7538153394535,2763.546643367731,2518.2071719717223,0.0,0.0,0
2025-04-04,5117.356993513217,2546.294713273235,2571.062280239982,0.0,0.0,1
2025-04-07,5158.808872065963,2521.70772597205,2637.101146093914,0.0,0.0,0
2025-04-08,5126.9484847097565,2554.6325348556848,2572.3159498540717,0.0,0.0,0
2025-04-09,5504.828523418295,2821.3286037800494,2683.499919638245,0.0,0.0,0
2025-04-10,5477.167030413092,2810.590267863047,2666.5767625500453,0.0,0.0,0
2025-04-11,5485.6026790531205,2810.590267863047,2675.0124111900736,0.0,0.0,0
2025-04-14,5510.830652162873,2829.1504526656454,2681.6801994972275,0.0,0.0,0
2025-04-15,5575.732479701108,2885.4709950817005,2690.261484619408,0.0,0.0,0
2025-04-16,5514.393293595851,2830.607347626381,2683.7859459694696,0.0,0.0,0
2025-04-17,5521.884444067185,2836.8080999313543,2685.0763441358304,0.0,0.0,0
2025-04-21,5434.915651254849,2764.9510052865585,2669.964645968291,0.0,0.0,0
2025-04-22,5525.812205035131,2836.104504233923,2689.7077008012084,0.0,0.0,0
2025-04-23,5608.336407295805,2905.7063170803276,2702.630090215477,0.0,0.0,0
2025-04-24,5626.128092108957,4813.262605822949,812.8654862860084,0.0,0.0,1
2025-04-25,5631.220952608622,4813.262605822949,817.9583467856731,0.0,0.0,0
2025-04-28,5630.076851525143,4813.262605822949,816.814245702194,0.0,0.0,0
2025-04-29,5636.200397612273,4813.262605822949,822.937791789324,0.0,0.0,0
2025-04-30,5639.25103693568,4813.262605822949,825.9884311127305,0.0,0.0,0
2025-05-01,5639.99328494624,4813.262605822949,826.7306791232918,0.0,0.0,0
2025-05-02,5655.149989321901,4813.262605822949,841.8873834989517,0.0,0.0,0
2025-05-05,5649.048710675088,4813.262605822949,835.7861048521386,0.0,0.0,0
2025-05-06,5642.739602585317,4813.262605822949,829.4769967623682,0.0,0.0,0
2025-05-07,5646.836811603615,4813.262605822949,833.5742057806661,0.0,0.0,0
2025-05-08,5651.780183353952,4813.262605822949,838.5175775310039,0.0,0.0,0
2025-05-09,5651.156695025082,4813.262605822949,837.8940892021324,0.0,0.0,0
2025-05-12,5678.412041972889,4813.262605822949,865.1494361499402,0.0,0.0,0
2025-05-13,5684.283223736428,4813.262605822949,871.0206179134794,0.0,0.0,0
2025-05-14,5685.479727529453,4813.262605822949,872.2171217065041,0.0,0.0,0
2025-05-15,5689.568029571624,4813.262605822949,876.3054237486753,0.0,0.0,0
2025-05-16,5695.186847011572,4813.262605822949,881.9242411886237,0.0,0.0,0
2025-05-19,5695.20213732059,4813.262605822949,881.9395314976412,0.0,0.0,0
